Album/Artist                                                                                                        |  Size | Type | Quality
        2000 - Agents of Oblivion                                                                                   |  392M | FLAC | 885 L
    A-ha                                                                                                            |       |      | 
        1985 - Hunting High and Low                                                                                 | 85.8M | MP3  | 320 C
        1990 - East of the Sun, West of the Moon                                                                    |  105M | MP3  | 320 C
        1995 - Scoundrel Days                                                                                       | 89.8M | MP3  | 320 C
        1999 - Memorial Beach                                                                                       |  113M | MP3  | 320 C
        2000 - Minor Earth Major Sky                                                                                |  134M | MP3  | 320 C
        2002 - Lifelines                                                                                            |  141M | MP3  | 320 C
        2002 - Stay on These Roads                                                                                  |  100M | MP3  | 320 C
        2005 - Singles 1984-2004                                                                                    |  182M | MP3  | -b 320
    Aina                                                                                                            |       |      | 
        Days of Rising Doom - CD 1                                                                                  |  102M | MP3  | 192 C
        Days of Rising Doom - CD 2                                                                                  | 76.1M | MP3  | 192 C
    Air                                                                                                             |       |      | 
        1998 - Moon Safari                                                                                          |  100M | MP3  | 320 C
        2000 - The Virgin Suicides                                                                                  | 93.4M | MP3  | 320 C
    Airbourne                                                                                                       |       |      | 
        2004 - Ready To Rock                                                                                        | 82.5M | MP3  | 320 C
        2007 - Runnin' Wild                                                                                         | 86.8M | MP3  | 320 C
        2010 - No Guts. No Glory.                                                                                   |  139M | MP3  | -b 320
    Alice Cooper                                                                                                    |       |      | 
        1989 - Trash                                                                                                | 92.6M | MP3  | 320 C
        2001 - The Definitive Alice Cooper                                                                          |  179M | MP3  | -b 320
    Alice Deejay                                                                                                    |       |      | 
        Alice DeeJay - 2000 - Who Needs Guitars Anyway  [FLAC]                                                      |  381M | FLAC | 1018 L
    Alice in Chains                                                                                                 |       |      | 
        Alice in Chain - Dirt (1992) [FLAC]                                                                         |  402M | FLAC | 979 L
        Alice in Chains - 2009 - Black Gives Way to Blue [lossless]                                                 |  384M | FLAC | 992 L
        Alice In Chains - Alice In Chains                                                                           |  431M | FLAC | 931 L
        Alice In Chains - Facelift                                                                                  |  364M | FLAC | 942 L
    Alien Project                                                                                                   |       |      | 
        Alien Project - Aztechno Dream [320]                                                                        |  161M | MP3  | 320 C
    Al Kooper                                                                                                       |       |      | 
        1968 - Fillmore East The Lost Concert Tapes                                                                 |  350M | FLAC | 818 L
        1968  I Stand Alone                                                                                         | 95.1M | MP3  | 320 C
        1968  Super Sessions                                                                                        |  115M | MP3  | 320 C
        1969  You Never Know Who Your Friends Are...Plus                                                            |  153M | MP3  | 320 C
        1970  Easy Does It                                                                                          |  142M | MP3  | 320 C
        2001 - Rare & Well Done                                                                                     |       |      | 
            Rare                                                                                                    |  177M | MP3  | 320 C
            Well Done                                                                                               |  177M | MP3  | 320 C
        2003 - Super Sessions[remaster]                                                                             | 61.8M | MP3  | 320 C
        AL.mp3                                                                                                      |       |      | 
            db - Al Kooper - Soul Of A Man; Al Kooper Live - cue                                                    |  260M | Mixe | 319 ~
    Alrune Rod                                                                                                      |  105M | MP3  | 320 C
    Altaria                                                                                                         |       |      | 
        The Fallen Empire                                                                                           | 90.7M | MP3  | 235 V
    Alvin And The Chipmunks                                                                                         |       |      | 
        2007 - Alvin And The Chipmunks Soundtrack                                                                   |  111M | MP3  | -b 320
        2008 - Undeniable                                                                                           |  105M | MP3  | -b 320
        2009 - The Squeakquel Soundtrack                                                                            |  115M | MP3  | -b 320
    Ambrosia                                                                                                        |       |      | 
        1997 - Anthology                                                                                            |  122M | MP3  | 224 C
    Amen Corner                                                                                                     |       |      | 
        2000 - If Paradise Was Half As Nice - The Immediate Anthology                                               |       |      | 
            CD1                                                                                                     |  180M | MP3  | 320 C
            CD2                                                                                                     | 85.0M | MP3  | 320 C
    Amy Winehouse                                                                                                   |       |      | 
        2003 - Frank                                                                                                |  135M | MP3  | -b 320
        2006 - Back To Black                                                                                        | 74.3M | MP3  | -b 320
