Album/Artist                                                                                                        |  Size | Type | Quality
        2003 - Spontaneous Illumination                                                                             |  465M | FLAC | 904 L
        Entheogenic - Flight Of The Urubus (2008) [FLAC] {Universal Symbiosis Records - USRCD001, CD, Album, EAC 0.9|  372M | FLAC | 902 L
    Enya                                                                                                            |       |      | 
        1997 - Paint the Sky with Stars                                                                             |  133M | MP3  | -b 320
        2008 - And Winter Came                                                                                      |  104M | MP3  | 320 C
        Enya - 1992 - The Celts                                                                                     | 90.4M | MP3  | -b 320
        Enya - 2006 Amarantine - Christmas Edition                                                                  |  138M | MP3  | 320 C
        Enya-Greatest Hits                                                                                          |       |      | 
            CD1                                                                                                     |  182M | MP3  | -b 320
            CD2                                                                                                     |  180M | MP3  | -b 320
        Enya - The Memory of Trees (320)                                                                            |  100M | MP3  | -b 320
        The Very Best Of Enya                                                                                       |  144M | MP3  | 317 V
        Watermark [1988]                                                                                            | 98.2M | MP3  | -V0n
    Epica                                                                                                           |       |      | 
        2003 - The Phantom Agony                                                                                    |  118M | MP3  | -b 320
        2003 - The Phantom Agony (Single)                                                                           | 50.2M | MP3  | 320 C
        2004 - Cry For The Moon (Single)                                                                            | 49.0M | MP3  | -b 320
        2004 - Feint (Single)                                                                                       | 43.5M | MP3  | -b 320
        2004 - We Will Take You With Us                                                                             |  123M | MP3  | -b 320
        2005 - Consign To Oblivion                                                                                  |  120M | MP3  | -b 320
        2005 - Quietus (Single)                                                                                     | 40.3M | MP3  | -b 320
        2005 - Solitary Ground (Single)                                                                             | 36.8M | MP3  | -b 320
        2005 - The Score - An Epic Journey                                                                          |  145M | MP3  | 320 C
        2006 - The Road To Paradiso                                                                                 |  130M | MP3  | 320 C
        2007 - The Divine Conspiracy                                                                                |  200M | MP3  | 163 ~
        2009 - Design Your Universe                                                                                 |  172M | MP3  | -b 320
    Era                                                                                                             |       |      | 
        2000 - Era 2                                                                                                |  271M | FLAC | 863 L
        2003 - The Mass (Limited Edition)                                                                           |  244M | FLAC | 870 L
        Era                                                                                                         | 81.0M | MP3  | 192 C
        Era - 2008 - Reborn                                                                                         |  342M | FLAC | 890 L
        ERA - Classics - 2009                                                                                       |  231M | FLAC | 803 L
        TheMass                                                                                                     | 36.5M | MP3  | 128 C
    Eric Burdon                                                                                                     |       |      | 
        1967 - Winds Of Change                                                                                      |  131M | MP3  | -b 320
        1968 - The Twain Shall Meet                                                                                 |  138M | MP3  | -b 320
        1970 - Eric Burdon Declares War                                                                             |  260M | FLAC | 859 L
    Eric Clapton                                                                                                    |       |      | 
        1975 - There's One In Every Crowd                                                                           | 92.7M | MP3  | -b 320
        Eric Clapton                                                                                                | 68.0M | MP3  | 256 C
        Eric Clapton - 20th Century Masters - Best Of (320)                                                         |  110M | MP3  | -b 320
        Eric Clapton - 1978 - Backless (320)                                                                        | 94.0M | MP3  | -b 320
        Eric Clapton-Crossroads                                                                                     |  673M | MP3  | 320 C
        Money and Cigarettes                                                                                        | 69.1M | MP3  | 256 C
        Pilgrim                                                                                                     |  173M | MP3  | 320 C
    Erika                                                                                                           | 23.3M | MP3  | 156 ~
    Escala                                                                                                          |       |      | 
        Escala                                                                                                      | 90.4M | MP3  | -b 320
    Eskimo                                                                                                          |       |      | 
        Eskimo - take a look out there                                                                              |  153M | MP3  | 320 C
    Estampie                                                                                                        |       |      | 
        Estampie__1990 - A chantar - Lieder der Frauenminne                                                         |  320M | FLAC | 673 L
        Estampie__1991 - Ave maris stella - Marienverehrung im Mittelalter                                          |  280M | FLAC | 613 L
        Estampie__1996 - Crusaders - Lieder der Kreuzritter                                                         |  287M | FLAC | 795 L
        Estampie__1998 - Materia Mystica - Eine Hommage an Hildegard von Bingen                                     |  299M | FLAC | 734 L
        Estampie__2000 - Ondas - Musik von Troubadours und Flagellanten                                             |  111M | MP3  | 320 C
    Estatic Fear                                                                                                    |       |      | 
        1996 - Somnium Obmutum                                                                                      |  130M | MP3  | -b 320
        1999 - A Sombre Dance                                                                                       |  113M | MP3  | -b 320
    Etnica                                                                                                          |       |      | 
        Etnica - Nitrox [320]                                                                                       |       |      | 
            Etnica - Nitrox                                                                                         |  166M | MP3  | -b 320
    Etta James                                                                                                      |       |      | 
        Etta James                                                                                                  | 75.8M | MP3  | 320 C
        Etta James - The Definitive Collection (2006) [MP3 320]                                                     |  173M | MP3  | -b 320
    Europe                                                                                                          |       |      | 
        2004 - Rock The Night - The Very Best Of Europe                                                             |       |      | 
            CD1                                                                                                     |  522M | FLAC | 1036 L
            CD2                                                                                                     |  532M | FLAC | 1059 L
    Eurythmics                                                                                                      |       |      | 
        1991 - Greatest Hits                                                                                        |  177M | MP3  | 320 C
        2005 - Ultimate Collection                                                                                  |  183M | MP3  | 320 C
        Eurythmics - 1985 - Be Yourself Tonight                                                                     | 99.8M | MP3  | -b 320
    Evanescence                                                                                                     |       |      | 
        2000 - Origin                                                                                               |  106M | MP3  | 320 C
        2003 - Fallen                                                                                               |  112M | MP3  | 320 C
        2003 - Not For Your Ears                                                                                    | 98.1M | MP3  | 192 C
        2004 - Anywhere But Home                                                                                    |  141M | MP3  | -b 320
        2006 - The Open Door                                                                                        |  125M | MP3  | 320 C
    Experimental Dental School                                                                                      |       |      | 
        Jane Doe Loves Me copy                                                                                      | 79.4M | MP3  | 320 C
    Extrawelt                                                                                                       |       |      | 
        Extrawelt - Schoene Neue Extrawelt (2008.cd.flac.log.cue.wfm)                                               |  413M | FLAC | 741 L
    Faine Jade                                                                                                      |       |      | 
        Faine Jade - Introspection A Faine Jade Recital  1968                                                       |  132M | MP3  | 320 C
    Fairport Convention                                                                                             |       |      | 
        Fairport Convention - 1970  Full House                                                                      | 80.4M | MP3  | 320 C
    Family                                                                                                          |       |      | 
        1970 - Anyway                                                                                               |  138M | MP3  | 320 C
    Far East Family Band                                                                                            |       |      | 
        1976 - Parallel World                                                                                       |  137M | MP3  | -b 320
        Family Entertainment                                                                                        | 91.1M | MP3  | -b 320
    Far East Movement                                                                                               |       |      | 
        Far East Movement - Free Wired (2010) [FLAC]                                                                |  257M | FLAC | 1000 L
    Fatboy Slim                                                                                                     |       |      | 
        Fatboy Slim - Palookaville                                                                                  |  122M | MP3  | 320 C
        Fatboy Slim - You've Come a Long Way, Baby                                                                  |  142M | MP3  | 320 C
    Fat Mattress                                                                                                    |       |      | 
        Fat Mattress - Fat Mattress @320                                                                            |  151M | MP3  | -b 320
        Fat Mattress - The Black Sheep of the Family- The Anthology (320k)                                          |       |      | 
            The Black Sheep of the Family- The Anthology Disc 1                                                     |  139M | MP3  | 320 C
            The Black Sheep of the Family- The Anthology Disc 2                                                     |  175M | MP3  | 320 C
    Fat Water                                                                                                       |       |      | 
        Fat Water                                                                                                   | 77.1M | MP3  | 320 C
    Faust                                                                                                           |       |      | 
        1973 - Faust IV                                                                                             |  101M | MP3  | 320 C
    Federal Duck                                                                                                    |       |      | 
        Federal Duck - Federal Duck  1968                                                                           | 84.6M | MP3  | 320 C
    Feist                                                                                                           |       |      | 
        Feist - The Reminder (2008 Limited Deluxe Edition) [FLAC]                                                   |  280M | FLAC | 784 L
            Bonus Disc                                                                                              |  251M | FLAC | 820 L
    Felix Mendelssohn                                                                                               |       |      | 
        Felix Mendelssohn - Piano Trios 1 & 2 (Trio Wanderer) (Flac)                                                |  217M | FLAC | 574 L
        Mendelssohn - Symphonien Nr. 3 & 4 - Karajan [FLAC]                                                         |  377M | FLAC | 672 L
    Finchley Boys                                                                                                   |       |      | 
        1968 - Everlasting Tributes                                                                                 |  136M | MP3  | -b 320
    Firm                                                                                                            |       |      | 
        1986 - Mean Business                                                                                        |  127M | MP3  | 320 C
    Five Day Rain                                                                                                   |       |      | 
        5 D-Rn mpt                                                                                                  |       |      | 
            Five Day Rain 1969                                                                                      |  138M | MP3  | 320 C
    Flairck                                                                                                         |       |      | 
        1990 - Alive                                                                                                |  244M | MP3  | 320 C
    Flamengo                                                                                                        |       |      | 
        1972 - Ku_e v hodinkách                                                                                     |  107M | MP3  | 320 C
    Fleetwood Mac                                                                                                   |       |      | 
        Fleetwood Mac - Shrine '69                                                                                  | 99.3M | MP3  | 320 C
        Rumours (1977)                                                                                              | 91.7M | MP3  | 320 C
    Flight of the Conchords                                                                                         |       |      | 
        Flight of the Conchords - Folk the World Tour - Live (FLAC)                                                 |  285M | FLAC | 835 L
        Flight Of The Conchords ST 320                                                                              | 96.7M | MP3  | -b 320
        Flight Of The Conchords - The Distant Future (FLAC)                                                         |  118M | FLAC | 721 L
        I Told You I Was Freaky [320]                                                                               | 78.5M | MP3  | -b 320
    Floating Bridge                                                                                                 |       |      | 
        Floating Bridge                                                                                             |  106M | MP3  | 320 C
    Flobots                                                                                                         |       |      | 
        2008 - Fight With Tools                                                                                     |  298M | FLAC | 918 L
    Fls Pl mpt                                                                                                      |       |      | 
        Folly's Pool  1977                                                                                          | 96.8M | MP3  | 320 C
    Focus                                                                                                           |       |      | 
        2004 - Live at the BBC @320                                                                                 |  142M | MP3  | -b 320
        2006 - Focus 9 New Skin                                                                                     |  168M | MP3  | -b 320
        Focus - 1973 - Focus III [320]                                                                              |  153M | MP3  | -b 320
        Focus - Mother Focus                                                                                        | 86.7M | MP3  | 320 C
        Hocus Pocus (The Best Of)                                                                                   |  176M | MP3  | -b 320
        Ship of Memories (1976)                                                                                     | 91.8M | MP3  | -b 320
    Fotheringay                                                                                                     |       |      | 
        1970 - Fotheringay                                                                                          |  109M | MP3  | 320 C
    Framework                                                                                                       |       |      | 
        Framework - Skeleton - 2CD (US 1968-69)                                                                     |       |      | 
            CD1                                                                                                     |  102M | MP3  | -b 320
            CD 2                                                                                                    |  112M | MP3  | -b 320
    Frank Sinatra                                                                                                   |       |      | 
        1997 - A Touch Of Class                                                                                     |  125M | MP3  | -b 320
        2008 - Nothing But The Best                                                                                 |  170M | MP3  | 320 C
    Frank Zappa                                                                                                     |       |      | 
        Frank Zappa - 1974 Apostrophe                                                                               | 47.1M | MP3  | 197 ~
        Frank Zappa - 1979 Sheik Yerbouti                                                                           |  104M | MP3  | 207 V
        Joe's Garage                                                                                                |       |      | 
            Joe's Garage [Disc 1]                                                                                   |  134M | MP3  | 320 C
            Joe's Garage [Disc 2]                                                                                   |  129M | MP3  | 320 C
        Over-Nite Sensation                                                                                         | 78.9M | MP3  | 320 C
        You Are What You Is                                                                                         |  167M | MP3  | 320 C
    Franz Liszt                                                                                                     |       |      | 
        Franz Liszt - Hungarian Rhapsodies.Mazeppa.Les Preludes                                                     |       |      | 
            CD1                                                                                                     |  309M | FLAC | 600 L
            CD2                                                                                                     |  259M | FLAC | 643 L
        Franz Lizst                                                                                                 | 97.2M | MP3  | 320 C
    Franz Schubert                                                                                                  |       |      | 
        1972 - Lieder                                                                                               |  154M | MP3  | -b 320
        Symphonies-Rosamunde-Riccardo Muti-Wiener PO                                                                |       |      | 
            CD1-Rosamunde-No.3 D200-No.8 D759 'Unfinished'                                                          |  294M | FLAC | 540 L
            CD2-No.2 D125-No.4 D417 'Tragic'                                                                        |  287M | FLAC | 599 L
            CD3-No.1 D82-No.5 D485-No.9 D944 'The Great'(I mvt.)                                                    |  319M | FLAC | 584 L
            CD4-No.9 D944 'The Great'(mvt.2-4)-No.6 D589                                                            |  295M | FLAC | 550 L
    Freak Out                                                                                                       |       |      | 
        1971 - Life                                                                                                 |  115M | MP3  | -b 320
    Freddie King                                                                                                    |       |      | 
        Freddie King                                                                                                |       |      | 
            King Of The Blues [Disc 1]                                                                              |  177M | MP3  | 320 C
            King Of The Blues [Disc 2]                                                                              |  181M | MP3  | 320 C
        Freddy King - Texas sensation                                                                               | 96.6M | MP3  | -b 320
    Free                                                                                                            |       |      | 
        1968-71 - BBC Sessions                                                                                      |  137M | MP3  | 320 C
        1970 - Fire And Water (Deluxe Edition)                                                                      |       |      | 
            CD1                                                                                                     |  273M | FLAC | 529 L
            CD2                                                                                                     |  447M | FLAC | 830 L
        1970  Highway                                                                                               |  134M | MP3  | 320 C
    Frejat                                                                                                          |       |      | 
        2009 - Perfil                                                                                               |  135M | MP3  | -b 320
    Funkadelic                                                                                                      |       |      | 
        1970 - Maggot Brain[2005 remaster]                                                                          |  124M | MP3  | -b 320
        1971 - Maggot Brain                                                                                         | 86.8M | MP3  | 320 C
        1999 - The Best                                                                                             |  152M | MP3  | 320 C
        America Eats Its Young                                                                                      |  161M | MP3  | -b 320
    FUSE                                                                                                            |       |      | 
        (TVT 7208-2) FUSE - Dimension Intrusion (1993)@                                                             |  432M | FLAC | 786 L
    Gackt                                                                                                           |       |      | 
        DIABOLOS                                                                                                    |  308M | FLAC | 942 L
    Gal Costa                                                                                                       |       |      | 
        1999 - Canta Tom Jobim (Ao Vivo)                                                                            |  183M | MP3  | -b 320
    Garybaldi                                                                                                       |       |      | 
        1972 - Nuda                                                                                                 | 95.7M | MP3  | 320 C
    Gary Burton                                                                                                     |       |      | 
        1998 - Astor Piazzolla Reunion                                                                              |  155M | MP3  | -b 320
    Geezer Butler                                                                                                   |       |      | 
        2005 - Ohmwork                                                                                              |  100M | MP3  | -b 320
    Genesis                                                                                                         |       |      | 
        1973 - Selling England By The Pound                                                                         | 96.1M | MP3  | -ape
        1983 - Genesis                                                                                              |  105M | MP3  | 320 C
        Wind & Wuthering                                                                                            | 93.4M | MP3  | 256 C
    Gentle Giant                                                                                                    |       |      | 
        1972 - Three Friends                                                                                        |  190M | FLAC | 752 L
        1973 - In a Glass House (2009 Remaster)                                                                     |  239M | FLAC | 883 L
        1974 - The Power and The Glory (2009 Remaster)                                                              |  242M | FLAC | 912 L
        1975 - Free Hand (2010 remaster)                                                                            |  223M | FLAC | 851 L
        1976 - Interview (2010 Remaster)                                                                            |  228M | FLAC | 870 L
        1977 - Playing The Fool (2010 Remaster)                                                                     |  504M | FLAC | 905 L
        1977 - The Missing Piece (2010 Remaster)                                                                    |  255M | FLAC | 975 L
        1980 - Civilian                                                                                             | 85.7M | MP3  | -b 320
        Gentle Giant - Acquiring The Taste                                                                          |  203M | FLAC | 720 L
        Gentle Giant - Gentle Giant (1970) [FLAC]                                                                   |  223M | FLAC | 845 L
        Gentle Giant - Octopus                                                                                      |  207M | FLAC | 845 L
    George Gershwin                                                                                                 |       |      | 
        Rhapsody In Blue - Concerto In F - An Am                                                                    |  157M | MP3  | 320 C
    George Harison                                                                                                  |       |      | 
        The Concert For Bangladesh Disc 1 @320                                                                      |  124M | MP3  | -b 320
        The Concert For Bangladesh Disc 2 @320                                                                      |  109M | MP3  | -b 320
    Gerry                                                                                                           |       |      | 
        Gerry - You'll Never Walk Alone (The EMI Years 1963 -1966), Disc 1 @320                                     |  170M | MP3  | -b 320
        Gerry - You'll Never Walk Alone (The EMI Years 1963 -1966), Disc 2 @320                                     |  167M | MP3  | -b 320
        Gerry - You'll Never Walk Alone (The EMI Years 1963 -1966), Disc 3 @320                                     |  170M | MP3  | 320 C
        Gerry - You'll Never Walk Alone (The EMI Years 1963 -1966), Disc 4 @320                                     |  174M | MP3  | -b 320
    Gigi D'Agostino                                                                                                 |       |      | 
        L'Amour Toujours                                                                                            |       |      | 
            Beats for the Feet                                                                                      |  382M | FLAC | 898 L
            Chansons for the Heart                                                                                  |  439M | FLAC | 897 L
    Gilberto Gil                                                                                                    |       |      | 
        1968 - Gilberto Gil                                                                                         | 71.6M | MP3  | -b 320
        1989 - O Melhor (Best of Brazil)                                                                            |  129M | MP3  | -b 320
        2010 - Minha Historia                                                                                       |  108M | MP3  | -b 320
        2010 - Realce                                                                                               | 87.3M | MP3  | -b 320
        Gilberto Gil - Fe Na Festa                                                                                  | 89.7M | MP3  | -V0n
        Gilberto Gil - Show na Poli USP (1973)                                                                      |  384M | MP3  | 320 C
    Gilberto Gil & Rita Lee                                                                                         |       |      | 
        1978 - Refestança                                                                                           |  105M | MP3  | 320 C
    Ginger Baker                                                                                                    |       |      | 
        Ginger Baker's Airforce - Ginger Baker's Airforce                                                           |       |      | 
            Ginger Baker's Airforce - Ginger Baker's Airforce                                                       |  178M | MP3  | 320 C
    Giovanni Caruso e o Escambau                                                                                    | 56.3M | MP3  | 205 ~
    Glass Harp                                                                                                      |       |      | 
        1971 - Synergy                                                                                              | 96.6M | MP3  | -b 320
    GMS                                                                                                             |       |      | 
        GMS - The Remixes Vol. 2                                                                                    |  178M | MP3  | 320 C
    GMS vs Astrix                                                                                                   |       |      | 
        GMS_Vs_Astrix_-_My_God-(Unreleased)-2008-DMM                                                                | 19.6M | MP3  | 320 C
    Gnarls Barkley                                                                                                  |       |      | 
        Gnarls_Barkley-St_Elsewhere-FLAC-2006-iND                                                                   |  267M | FLAC | 1001 L
        The Odd Couple                                                                                              | 90.3M | MP3  | 320 C
    Gogol Bordello                                                                                                  |       |      | 
        Gypsy Punks                                                                                                 |  146M | MP3  | 320 C
    Golden Earrings                                                                                                 |       |      | 
        1966 - Winter Harvest                                                                                       |  286M | FLAC | 904 L
        1968 -  Miracle Mirror                                                                                      |  329M | FLAC | 895 L
        Golden Earrings -  Miracle Mirror  1968                                                                     |  118M | MP3  | 320 C
        Golden Earring - Winter Harvest 1966                                                                        |  101M | MP3  | 320 C
        The Golden Earrings - Just Ear-Rings  1965                                                                  | 88.2M | MP3  | 320 C
    Gong                                                                                                            |       |      | 
        1971 - Camembert Electrique                                                                                 | 90.9M | MP3  | -b 320
    Gorillaz                                                                                                        |       |      | 
        2001 - Gorillaz                                                                                             |  140M | MP3  | 320 C
        2005 - Demon Days                                                                                           |  116M | MP3  | 320 C
        2010 - Plastic Beach (Deluxe Version)                                                                       |  146M | MP3  | 320 C
    Gotan Project                                                                                                   |       |      | 
        2001 - La revancha del tango                                                                                |  366M | FLAC | 872 L
    Gracious                                                                                                        |       |      | 
        1970 - Gracious                                                                                             |  124M | MP3  | 320 C
    Grand Theft                                                                                                     |       |      | 
        1972 - Hiking Into Eternity (1996 Epilogue)                                                                 |  398M | FLAC | 758 L
    Grapefruit                                                                                                      |       |      | 
        1969 - Deep Water                                                                                           |  109M | MP3  | -b 320
    Grateful Dead                                                                                                   |       |      | 
        Aoxomoxoa (original mix)                                                                                    | 88.2M | MP3  | -api
    Grease                                                                                                          |       |      | 
        Frankie Valli Grease [Original Soundtrack]                                                                  |  102M | MP3  | 320 C
        Olivia Newton-John Grease [Original Soundtrack]                                                             | 35.6M | MP3  | 320 C
    Green Day                                                                                                       |       |      | 
        1990 - 1,039 Smoothed Out Slappy Hours                                                                      |  129M | MP3  | 320 C
        1992 - Kerplunk                                                                                             | 96.7M | MP3  | -b 320
        1994 - Dookie                                                                                               | 91.6M | MP3  | 320 C
        1995 - Insomniac                                                                                            | 75.7M | MP3  | -b 320
        1997 - Nimrod                                                                                               |  113M | MP3  | 320 C
        2000 - Warning                                                                                              |  102M | MP3  | 320 C
        2001 - International Superhits!                                                                             |  139M | MP3  | 320 C
        2002 - Shenanigans                                                                                          | 76.7M | MP3  | 320 C
        2004 - American Idiot                                                                                       |  131M | MP3  | 320 C
        2005 - Bullet in a Bible                                                                                    |  149M | MP3  | 320 C
        2009 - 21st Century Breakdown                                                                               |  160M | MP3  | 320 C
    Greenslade                                                                                                      |       |      | 
        1973 - Bedside Manners Are Extra                                                                            | 90.0M | MP3  | 320 C
        1973 - Greenslade                                                                                           | 93.0M | MP3  | -b 320
        1975 - Time And Tide                                                                                        | 29.9M | MP3  | 128 C
    Grin                                                                                                            |       |      | 
        1971 - Grin                                                                                                 |  110M | MP3  | -b 320
    Groove Armada                                                                                                   |       |      | 
        Goodbye Country                                                                                             | 88.9M | MP3  | 192 C
    Gryphon                                                                                                         |       |      | 
        1973 - Gryphon                                                                                              | 86.9M | MP3  | -b 320
        1974 - Midnight Mushrumps                                                                                   | 97.0M | MP3  | -b 320
        1974 - Red Queen To Gryphon Three                                                                           | 88.8M | MP3  | -b 320
        1975 - Raindance                                                                                            | 94.3M | MP3  | 320 C
        1977 - Treason                                                                                              | 86.2M | MP3  | -b 320
        2002 - About As Curious As It Can Be (Live 1974-1975)                                                       |  124M | MP3  | -b 320
        2003 - Glastonbury Carol                                                                                    | 85.0M | MP3  | 256 C
    Gun                                                                                                             |       |      | 
        Gun - 1968  1st Album                                                                                       |  109M | MP3  | 320 C
    Gunge                                                                                                           |       |      | 
        Gunge - Feel It  1968                                                                                       | 82.2M | MP3  | 320 C
    Guns N' Roses                                                                                                   |       |      | 
        1987 - Appetite for Destruction                                                                             |  123M | MP3  | 320 C
        1988 - G N' R Lies                                                                                          | 76.7M | MP3  | 320 C
        1991 - Use Your Illusion I                                                                                  |  174M | MP3  | 320 C
        1991 - Use Your Illusion II                                                                                 |  173M | MP3  | 320 C
        1992 - God Bless America                                                                                    |       |      | 
            Guns N' Roses - God Bless America (1992)                                                                |       |      | 
                CD1                                                                                                 |  127M | MP3  | 240 V
        1992 - Ride The Wild Horses                                                                                 |       |      | 
